address,bathrooms,bedrooms,built,lot,saledate,saleprice,squarefeet
"805 Patricia Ave, Ann Arbor, MI Real Estate",2,4,1961,10018.00,20140827,285000,1748.00
"2124 Runnymede Blvd, Ann Arbor, MI Real Estate",2,3,1959,11761.20,20140827,287000,1536.00
"1265 S Maple Rd APT 206, Ann Arbor, MI Real Estate",1,1,1972,,20140826,80000,927.00
"1505 Westfield Ave, Ann Arbor, MI Real Estate",1,3,1954,7579.00,20140826,230000,988.00
"1601 Arbordale St, Ann Arbor, MI Real Estate",2,4,1953,10105.00,20140826,227000,1640.00
"1719 Waltham Dr, Ann Arbor, MI Real Estate",2.5,3,1962,9104.00,20140826,293000,2004.00
"1106 W Washington St, Ann Arbor, MI Real Estate",1,3,1910,3354.00,20140826,311000,1069.00
"2229 Faye Dr, Ann Arbor, MI Real Estate",2,3,1962,7405.00,20140826,204225,988.00
"2240 Miller Ave, Ann Arbor, MI Real Estate",1.5,3,1978,10454.00,20140826,314000,1358.00
"1345 Arella Blvd, Ann Arbor, MI Real Estate",1,2,1955,6708.00,20140825,275000,1027.00
"2315 S Circle Dr, Ann Arbor, MI Real Estate",1,3,1959,6969.00,20140825,172900,1217.00
"1736 W Stadium Blvd, Ann Arbor, MI Real Estate",2,3,1953,8276.00,20140825,201000,912.00
"2330 Churchill Dr, Ann Arbor, MI Real Estate",1.5,3,1974,14810.40,20140825,270000,1684.00
"133 W Oakbrook Dr, Ann Arbor, MI Real Estate",2.5,2,2005,,20140825,234900,1250.00
"2044 Liberty Hts, Ann Arbor, MI Real Estate",3.5,3,2014,,20140822,348750,1747.00
"2104 Charlton St, Ann Arbor, MI Real Estate",1,2,1951,8581.00,20140822,221000,960.00
"444 Evergreen Dr, Ann Arbor, MI Real Estate",1,3,1965,8276.00,20140822,226500,988.00
"4625 W Loch Alpine Dr, Ann Arbor, MI Real Estate",3,4,1997,,20140821,279000,2400.00
"1005 W Washington St, Ann Arbor, MI Real Estate",2,3,1930,3354.00,20140820,350000,1632.00
"478 Liberty Pointe Dr, Ann Arbor, MI Real Estate",3,3,1993,,20140820,301000,2044.00
"560 Little Lake Dr UNIT 7, Ann Arbor, MI Real Estate",2,3,2006,,20140820,229000,1412.00
"2755 Holyoke Ln, Ann Arbor, MI Real Estate",3.5,4,1985,20473.20,20140820,452500,2366.00
"7425 Strieter Ct, Ann Arbor, MI Real Estate",2,3,2007,194713.20,20140820,342000,1779.00
"2120 Liberty Hts, Ann Arbor, MI Real Estate",2.5,3,2014,,20140820,328000,1779.00
"434 3rd St, Ann Arbor, MI Real Estate",1,2,1890,1306.00,20140819,208000,833.00
"1513 Marian Ave, Ann Arbor, MI Real Estate",2,3,1956,7405.00,20140819,205000,1132.00
"1290 Patricia Ave, Ann Arbor, MI Real Estate",3,2,1989,,20140819,187000,1420.00
"434 3rd St, Ann Arbor, MI Real Estate",1,2,1890,1306.00,20140819,208000,833.00
"1049 Bluestem Ln, Ann Arbor, MI Real Estate",3,2,2000,,20140819,157500,1158.00
"1513 Marian Ave, Ann Arbor, MI Real Estate",2,3,1956,7405.00,20140819,205000,1132.00
"5575 Villa France Ave, Ann Arbor, MI Real Estate",4,4,2001,,20140818,435000,3030.00
"1265 S Maple Rd, Ann Arbor, MI Real Estate",2,2,1968,,20140818,80000,1173.00
"315 2nd St APT 315, Ann Arbor, MI Real Estate",1.5,,2005,,20140814,425000,970.00
"2472 Newbury Ct, Ann Arbor, MI Real Estate",2.5,4,1971,10410.00,20140814,366200,2052.00
"1575 Miller Ave, Ann Arbor, MI Real Estate",2,5,1930,22651.20,20140814,365000,1799.00
"1139 Joyce Ln, Ann Arbor, MI Real Estate",2,2,2002,,20140814,165000,1251.00
"805 W Huron St, Ann Arbor, MI Real Estate",2.5,3,1901,9147.00,20140814,547500,2172.00
"822 W Summerfield Glen Cir, Ann Arbor, MI Real Estate",,,,,20140814,159900,
"1701 Avondale Ave, Ann Arbor, MI Real Estate",1.5,3,1957,7405.00,20140814,206500,1421.00
"601 Sunset Rd, Ann Arbor, MI Real Estate",2.5,4,1935,10454.00,20140813,538000,2505.00
"311 Westwood Ave, Ann Arbor, MI Real Estate",2,4,1926,8276.00,20140813,450000,2182.00
"1241 N Bay Dr, Ann Arbor, MI Real Estate",4,5,2004,6969.00,20140813,310000,2201.00
"3460 Porter Rd, Ann Arbor, MI Real Estate",3,4,2001,5401.00,20140813,230900,1360.00
"402 N Revena Blvd, Ann Arbor, MI Real Estate",1.5,3,1939,5619.00,20140813,365000,1738.00
"714 Patricia Ave, Ann Arbor, MI Real Estate",2,3,1959,7405.00,20140813,240000,1050.00
"136 W Oakbrook Dr, Ann Arbor, MI Real Estate",3,2,2005,,20140813,240000,1250.00
"4970 Westgate Ct, Ann Arbor, MI Real Estate",2,3,1990,16117.20,20140812,220000,1366.00
"234 Highlake Ave, Ann Arbor, MI Real Estate",1,3,1955,9583.00,20140812,186000,960.00
"959 Hockey Ln, Ann Arbor, MI Real Estate",1,3,1953,27007.20,20140812,250000,1248.00
"680 Archwood Dr, Ann Arbor, MI Real Estate",1.5,3,1964,8276.00,20140811,250000,1338.00
"5037 Dexter Ann Arbor Rd, Ann Arbor, MI Real Estate",1.5,3,1964,46173.60,20140811,210867,1334.00
"1529 Barnard Rd, Ann Arbor, MI Real Estate",4,4,1961,9147.00,20140811,365000,2169.00
"3246 Honeysuckle Dr, Ann Arbor, MI Real Estate",2.5,4,1998,12632.40,20140810,429000,2600.00
"4441 S Parker Rd, Ann Arbor, MI Real Estate",,,,4382136.00,20140808,827000,
"436 3rd St, Ann Arbor, MI Real Estate",4,5,1902,8712.00,20140808,620000,3267.00
"1207 Ardmoor Ave, Ann Arbor, MI Real Estate",4,5,1964,9583.00,20140808,369000,2073.00
"2616 Rock Ridge Ct, Ann Arbor, MI Real Estate",3,5,1999,18295.20,20140808,415000,3800.00
"2066 Autumn Hill Dr, Ann Arbor, MI Real Estate",4.5,5,2005,25700.40,20140808,860000,4219.00
"340 Sedgewood Ln, Ann Arbor, MI Real Estate",3,4,2005,6969.00,20140808,340000,2565.00
"4954 High Meadow Ln, Ann Arbor, MI Real Estate",3.5,5,2000,77101.20,20140808,775000,3880.00
"1736 Covington Dr, Ann Arbor, MI Real Estate",2,4,1960,8712.00,20140807,358000,2298.00
"529 6th St, Ann Arbor, MI Real Estate",2,4,1901,7405.00,20140806,390000,1929.00
"449 2nd St, Ann Arbor, MI Real Estate",2,2,1901,8712.00,20140806,325100,1356.00
"1424 Dicken Dr, Ann Arbor, MI Real Estate",3,4,1980,7840.00,20140806,289000,2131.00
"601 W Hoover Ave, Ann Arbor, MI Real Estate",2,2,1942,5619.00,20140806,202700,869.00
"4790 Dawson Dr, Ann Arbor, MI Real Estate",3,3,1978,16117.20,20140806,335000,1690.00
"1425 Argyle Cres, Ann Arbor, MI Real Estate",2,2,1958,7971.00,20140806,319900,1014.00
"1833 Wintergreen Ct, Ann Arbor, MI Real Estate",3.5,4,1991,14810.40,20140806,450000,2689.00
"273 Scio Village Ct UNIT 238, Ann Arbor, MI Real Estate",2,2,2003,,20140806,225000,1560.00
"1307 W Huron St, Ann Arbor, MI Real Estate",1,3,1914,4268.00,20140806,266000,1227.00
"219 W Oakbrook Dr, Ann Arbor, MI Real Estate",2.5,,2006,,20140806,261500,1430.00
"Newport Rd, Ann Arbor, MI Real Estate",,,,72309.60,20140806,50000,
"406 S Revena Blvd, Ann Arbor, MI Real Estate",2,3,1926,5271.00,20140805,46500,2200.00
"999 Honey Creek Dr, Ann Arbor, MI Real Estate",3,3,1964,33105.60,20140805,310000,2759.00
"413 5th St, Ann Arbor, MI Real Estate",2.5,2,1901,5793.00,20140805,255000,1510.00
"1662 Scio Ridge Rd, Ann Arbor, MI Real Estate",3,3,1997,4791.00,20140805,323500,2017.00
"2053 Greenview Dr, Ann Arbor, MI Real Estate",2,4,1966,12196.80,20140805,332500,2164.00
"1923 Dexter Ave, Ann Arbor, MI Real Estate",,Studio,1965,6490.00,20140805,200000,1392.00
"2346 Dahlia Ct, Ann Arbor, MI Real Estate",,,,,20140804,380000,
"2844 Whippoorwill Ln, Ann Arbor, MI Real Estate",2,3,1958,55756.80,20140804,282500,1536.00
"1805 N Franklin Ct, Ann Arbor, MI Real Estate",2,3,1977,9583.00,20140804,247500,1529.00
"1881 W Liberty St, Ann Arbor, MI Real Estate",3,3,1962,9147.00,20140804,268000,1372.00
"1510 Normandy Rd, Ann Arbor, MI Real Estate",2,3,1956,10454.00,20140804,395000,1670.00
"4235 Sunderland Way, Ann Arbor, MI Real Estate",3,4,1990,15246.00,20140801,350000,2380.00
"1003 S 7th St, Ann Arbor, MI Real Estate",1,3,1959,6708.00,20140801,1400,1350.00
"502 Liberty Pointe Dr, Ann Arbor, MI Real Estate",2.5,2,1992,,20140801,190000,1378.00
"350 Pinewood St, Ann Arbor, MI Real Estate",3,4,2001,9583.00,20140731,379900,2242.00
"203 Montgomery Ave, Ann Arbor, MI Real Estate",2,3,1925,5662.00,20140731,433500,1609.00
"1015 Miner St, Ann Arbor, MI Real Estate",3,3,1927,6185.00,20140731,385000,1769.00
"1668 Chapleau Dr, Ann Arbor, MI Real Estate",4,3,2002,6534.00,20140731,319000,1842.00
"4241 Crestline Dr, Ann Arbor, MI Real Estate",2,3,1979,12632.40,20140731,375000,2100.00
"240 Hunters Trl, Ann Arbor, MI Real Estate",3,4,2000,1742.00,20140731,427000,2463.00
"581 Archwood Dr, Ann Arbor, MI Real Estate",1,2,1940,360519984.00,20140731,185000,986.00
"463 S Zeeb Rd, Ann Arbor, MI Real Estate",,,,,20140731,280000,
"224 Snyder Ave, Ann Arbor, MI Real Estate",1,2,2004,,20140731,195000,915.00
"624 Revena Pl, Ann Arbor, MI Real Estate",1,3,1954,8712.00,20140731,275000,1073.00
"1707 Orchard St, Ann Arbor, MI Real Estate",2,3,1996,5183.00,20140731,400000,1680.00
"1309 Arella Blvd, Ann Arbor, MI Real Estate",1,3,1955,6969.00,20140730,224000,1027.00
"4251 Saint Andrews Way, Ann Arbor, MI Real Estate",3.5,4,1997,,20140730,378000,2332.00
"403 W Keech Ave, Ann Arbor, MI Real Estate",1,3,1940,5532.00,20140730,268000,1398.00
"604 Trego Cir, Ann Arbor, MI Real Estate",2,4,1988,8276.00,20140730,415000,1857.00
"4251 Saint Andrews Way, Ann Arbor, MI Real Estate",3.5,4,1997,,20140730,378000,2332.00
"1021 Westview Way, Ann Arbor, MI Real Estate",3,4,1994,57499.20,20140729,600000,3938.00
"2918 Signature Blvd, Ann Arbor, MI Real Estate",2.5,2,2002,,20140729,205000,1400.00
"404 Pauline Blvd, Ann Arbor, MI Real Estate",2,3,1927,6185.00,20140729,370000,1284.00
"301 Scio Village Ct UNIT 151, Ann Arbor, MI Real Estate",2,2,2002,,20140729,248000,1581.00
"1810 Fair St, Ann Arbor, MI Real Estate",1,2,1943,50.00,20140729,190000,768.00
"1265 S Maple Rd APT 207, Ann Arbor, MI Real Estate",2,2,1968,,20140728,82500,1173.00
"2131 Pauline Ct, Ann Arbor, MI Real Estate",3,2,1975,,20140728,187700,1368.00
"1516 Kuehnle St, Ann Arbor, MI Real Estate",2,4,1965,8276.00,20140728,270000,1843.00
"2075 Winewood Ave, Ann Arbor, MI Real Estate",1,3,1971,6229.00,20140728,121000,1008.00
"2126 N Circle Dr, Ann Arbor, MI Real Estate",2,3,1956,8712.00,20140728,210000,1040.00
"2017 Fair St, Ann Arbor, MI Real Estate",2,3,1976,8276.00,20140728,203250,1486.00
"1006 Fountain St, Ann Arbor, MI Real Estate",1,2,1964,8233.00,20140728,135000,820.00
"525 4th St, Ann Arbor, MI Real Estate",3,4,1910,10802.00,20140728,750000,2716.00
"5055 Carlisle Ct, Ann Arbor, MI Real Estate",4.5,4,1999,23086.80,20140728,775000,4058.00
"1526 Newport Rd, Ann Arbor, MI Real Estate",2,3,1954,11325.60,20140728,225000,1104.00
"905 Wildwood Ln, Ann Arbor, MI Real Estate",2.5,4,2005,119354.40,20140725,500000,3176.00
"3055 Cottontail Ct, Ann Arbor, MI Real Estate",3.5,5,1991,44431.20,20140725,750000,3416.00
"2722 Roseland Dr, Ann Arbor, MI Real Estate",3,4,1966,42688.80,20140725,384000,2137.00
"803 Wildt St, Ann Arbor, MI Real Estate",,,,,20140725,675000,
"5974 Cedar Ridge Dr, Ann Arbor, MI Real Estate",3,4,2000,1742.00,20140724,382500,2925.00
"2257 Delaware Dr, Ann Arbor, MI Real Estate",2.5,5,1971,11325.60,20140722,479000,2568.00
"9088 W Liberty Rd, Ann Arbor, MI Real Estate",2.5,3,2001,435600.00,20140722,494000,3312.00
"770 S Maple Rd, Ann Arbor, MI Real Estate",2,4,1923,9191.00,20140722,168000,1300.00
"4872 Greenook Ct, Ann Arbor, MI Real Estate",3,4,1997,27442.80,20140722,350000,2612.00
"1654 Abigail Way, Ann Arbor, MI Real Estate",3.5,4,1999,5662.00,20140722,322900,1824.00
"2381 Delaware Dr, Ann Arbor, MI Real Estate",4,4,1987,17424.00,20140722,585000,3542.00
"1108 Belmar Pl, Ann Arbor, MI Real Estate",1.5,3,1971,5575.00,20140722,260000,1152.00
"920 W Summerfield Glen Cir, Ann Arbor, MI Real Estate",2,2,2008,435.00,20140722,162500,1231.00
"1436 Kuehnle St, Ann Arbor, MI Real Estate",2,4,1965,8712.00,20140722,270000,1812.00
"1706 Fulmer St, Ann Arbor, MI Real Estate",1.5,3,1940,14810.40,20140722,285000,1980.00
"333 Mulholland St, Ann Arbor, MI Real Estate",3,3,1910,6969.00,20140722,500000,1978.00
"2116 Pauline Blvd APT 302, Ann Arbor, MI Real Estate",1,1,1968,,20140722,66500,732.00
"110 W Oakbrook Dr, Ann Arbor, MI Real Estate",2,2,2005,,20140722,266500,1470.00
"3078 Cottontail Ct, Ann Arbor, MI Real Estate",5,4,1990,46609.20,20140722,1060000,4250.00
"1840 Coronada St, Ann Arbor, MI Real Estate",2,3,1954,9060.00,20140722,226000,1140.00
"770 S Maple Rd, Ann Arbor, MI Real Estate",2,4,1923,9191.00,20140722,168000,1300.00
"1415 Kelly Green Dr # 5, Ann Arbor, MI Real Estate",1.5,4,1990,,20140722,306000,2152.00
"4872 Greenook Ct, Ann Arbor, MI Real Estate",3,4,1997,27442.80,20140722,350000,2612.00
"5563 Gallery Park Dr # 55, Ann Arbor, MI Real Estate",,,,,20140721,337000,
"5962 Cedar Ridge Dr, Ann Arbor, MI Real Estate",4,4,2000,14810.40,20140721,389000,2723.00
"722 S 7th St, Ann Arbor, MI Real Estate",2,3,1901,6882.00,20140718,222500,1910.00
"2719 Provincetown Ct, Ann Arbor, MI Real Estate",2.5,5,1974,39204.00,20140718,495000,2600.00
"555 Galen Cir, Ann Arbor, MI Real Estate",3,2,1990,,20140718,322500,1935.00
"2642 Craig Rd, Ann Arbor, MI Real Estate",3,4,1962,49222.80,20140718,498000,3330.00
"1645 Wake Robin Ct, Ann Arbor, MI Real Estate",2.5,4,1992,10018.00,20140717,392000,3231.00
"3732 Oakmore Ct, Ann Arbor, MI Real Estate",3,4,1991,109335.60,20140717,950000,3330.00
"826 W Washington St, Ann Arbor, MI Real Estate",1,2,1910,5662.00,20140716,304000,1244.00
"410 Wilder Pl, Ann Arbor, MI Real Estate",1,2,1947,5662.00,20140716,185000,756.00
"1109 Stags Leap Ln, Ann Arbor, MI Real Estate",3,4,1997,444312.00,20140716,530000,3125.00
"2232 Walter Dr, Ann Arbor, MI Real Estate",3,3,1960,7405.00,20140716,315000,1660.00
"410 Wilder Pl, Ann Arbor, MI Real Estate",1,2,1947,5662.00,20140716,185000,756.00
"1805 Virnankay Cir, Ann Arbor, MI Real Estate",2,3,1955,6098.00,20140716,232500,1022.00
"826 W Washington St, Ann Arbor, MI Real Estate",1,2,1910,5662.00,20140716,304000,1244.00
"1518 Ardmoor Ave, Ann Arbor, MI Real Estate",1.5,3,1947,7187.00,20140716,233400,1372.00
"1109 Stags Leap Ln, Ann Arbor, MI Real Estate",3,4,1997,444312.00,20140716,530000,3125.00
"1732 Hanover Rd, Ann Arbor, MI Real Estate",2,3,1957,8276.00,20140716,252000,1251.00
"121 Worden Ave, Ann Arbor, MI Real Estate",1,2,1929,9147.00,20140716,230000,1127.00
"639 Liberty Pointe Dr, Ann Arbor, MI Real Estate",2.5,3,1989,,20140716,204900,1378.00
"3246 Sunnywood Dr, Ann Arbor, MI Real Estate",2,3,1965,15246.00,20140716,349000,1468.00
"1018 Pomona Rd, Ann Arbor, MI Real Estate",2,3,1956,14810.40,20140715,333000,1710.00
"5819 Versailles Ave, Ann Arbor, MI Real Estate",4,5,2001,,20140715,425000,2877.00
"2395 Delaware Dr, Ann Arbor, MI Real Estate",2,4,1986,20037.60,20140715,365000,2412.00
"927 Northwood St, Ann Arbor, MI Real Estate",1,4,1952,8364.00,20140715,237500,1380.00
"5759 Villa France Ave # 75, Ann Arbor, MI Real Estate",3.5,4,1999,8712.00,20140715,330000,2052.00
"2207 S Main St, Ann Arbor, MI Real Estate",2,2,2003,,20140714,164000,1190.00
"6555 Scio Church Rd, Ann Arbor, MI Real Estate",2,3,1991,141134.40,20140711,265100,1400.00
"5994 Cedar Ridge Dr, Ann Arbor, MI Real Estate",3,4,2000,13939.20,20140711,390000,2794.00
"5891 Rollingwood Dr, Ann Arbor, MI Real Estate",3,4,1999,10890.00,20140711,339175,2436.00
"6271 Scio Church Rd, Ann Arbor, MI Real Estate",,,,92347.20,20140711,265100,
"4711 Whitman Cir, Ann Arbor, MI Real Estate",3,5,1974,26136.00,20140710,310000,2528.00
"1355 Ardmoor Ave, Ann Arbor, MI Real Estate",2,4,1963,8145.00,20140710,354000,1876.00
"961 Honey Creek Dr, Ann Arbor, MI Real Estate",2.5,4,1965,39204.00,20140710,408600,2444.00
"7021 Scio Church Rd, Ann Arbor, MI Real Estate",3,3,1994,113691.60,20140710,295000,1913.00
"2001 Marra Dr, Ann Arbor, MI Real Estate",3,3,1990,9147.00,20140710,423890,2306.00
"1624 Hatcher Cres, Ann Arbor, MI Real Estate",1.5,3,1956,8450.00,20140710,223800,1014.00
"961 Honey Creek Dr, Ann Arbor, MI Real Estate",2.5,4,1965,39204.00,20140710,408600,2444.00
"4520 Canterbury Ct, Ann Arbor, MI Real Estate",3,4,1990,14810.40,20140709,367000,2297.00
"4872 Greenook Ct, Ann Arbor, MI Real Estate",2.5,4,1997,27442.80,20140709,350000,2612.00
"1032 Bluestem Ln, Ann Arbor, MI Real Estate",3,2,2000,,20140708,165000,1158.00
"3600 S Wagner Rd, Ann Arbor, MI Real Estate",,,,849420.00,20140707,110000,
"560 Little Lake Dr UNIT 1, Ann Arbor, MI Real Estate",,,,,20140707,210000,
"230 Highlake Ave, Ann Arbor, MI Real Estate",1,4,1960,9583.00,20140707,197400,1044.00
"1061 Western Dr, Ann Arbor, MI Real Estate",2,3,1959,6098.00,20140707,225000,1373.00
"1616 Snowberry Ridge Rd, Ann Arbor, MI Real Estate",2.5,4,1992,15246.00,20140707,412500,2499.00
"467 S Zeeb Rd, Ann Arbor, MI Real Estate",3,3,2013,,20140707,274500,1650.00
"210 Pleasant Pl, Ann Arbor, MI Real Estate",2,3,1926,9583.00,20140707,298200,1575.00
"4107 Eastgate Dr, Ann Arbor, MI Real Estate",3.5,4,1993,23086.80,20140707,380000,1798.00
"704 Duncan St, Ann Arbor, MI Real Estate",1,3,1951,6098.00,20140707,215000,1200.00
"1217 Bydding Rd, Ann Arbor, MI Real Estate",2,4,1951,13503.60,20140707,165000,1889.00
"4874 Polo Fields Dr, Ann Arbor, MI Real Estate",4,4,2000,20473.20,20140707,557400,3188.00
"3729 West St, Ann Arbor, MI Real Estate",2.5,3,1996,43560.00,20140703,329000,2114.00
"452 Colin Cir, Ann Arbor, MI Real Estate",3.5,4,1994,6969.00,20140703,351000,2597.00
"720 Linda Vista St, Ann Arbor, MI Real Estate",2,4,1955,6534.00,20140703,249000,1566.00
"3417 Miller Rd, Ann Arbor, MI Real Estate",2.5,4,1999,55756.80,20140703,455000,2829.00
"521 Snyder Ave, Ann Arbor, MI Real Estate",1,2,1952,2657.00,20140703,165000,935.00
"711 Spring St, Ann Arbor, MI Real Estate",1.5,3,1901,5227.00,20140703,415000,1392.00
"2132 Pauline Blvd APT 206, Ann Arbor, MI Real Estate",1,1,1959,,20140703,75000,927.00
"2322 Faye Dr, Ann Arbor, MI Real Estate",1,3,1959,7840.00,20140703,173000,1008.00
"361 Lake Park Ln, Ann Arbor, MI Real Estate",2.5,2,1990,10323.00,20140703,320500,1528.00
"1415 Creal Cres, Ann Arbor, MI Real Estate",1,3,1955,10803.00,20140703,209000,1014.00
"452 Colin Cir, Ann Arbor, MI Real Estate",3.5,4,1994,6969.00,20140703,351000,2597.00
"521 Snyder Ave, Ann Arbor, MI Real Estate",1,2,1952,2657.00,20140703,165000,935.00
"3417 Miller Rd, Ann Arbor, MI Real Estate",2.5,4,1999,55756.80,20140703,455000,2829.00
"720 Linda Vista St, Ann Arbor, MI Real Estate",2,4,1955,6534.00,20140703,249000,1566.00
"2938 Newport Rd, Ann Arbor, MI Real Estate",1,2,1950,42253.20,20140703,329175,1322.00
"1738 Reserve Way, Ann Arbor, MI Real Estate",3,3,2000,5227.00,20140702,324900,2027.00
"404 Snyder Ave, Ann Arbor, MI Real Estate",1,3,1933,6621.00,20140702,337500,1418.00
"2342 Blueberry Ln, Ann Arbor, MI Real Estate",3,4,1961,44866.80,20140701,425000,1936.00
"5922 Cedar Ridge Dr, Ann Arbor, MI Real Estate",4,4,2000,16988.40,20140630,389900,2567.00
"220 Buena Vista Ave, Ann Arbor, MI Real Estate",,Studio,1956,4704.00,20140630,205000,1248.00
"4794 Holly Way, Ann Arbor, MI Real Estate",3.5,3,1985,,20140630,425000,2496.00
"2310 Kent St, Ann Arbor, MI Real Estate",2.5,3,1968,10149.00,20140630,279000,1449.00
"745 Gott St, Ann Arbor, MI Real Estate",2.5,3,1901,4486.00,20140630,409000,1370.00
"5701 Versailles Ave, Ann Arbor, MI Real Estate",,,,,20140630,293000,
"5879 Versailles Ave, Ann Arbor, MI Real Estate",3,3,2000,,20140630,319900,1986.00
"2101 Pauline Ct, Ann Arbor, MI Real Estate",2,3,1975,,20140630,215000,1652.00
"814 3rd St, Ann Arbor, MI Real Estate",2,3,1924,4791.00,20140630,355000,1046.00
"3260 Miller Rd, Ann Arbor, MI Real Estate",3.5,4,1919,117612.00,20140630,717000,2481.00
"772 N Wagner Rd, Ann Arbor, MI Real Estate",3,3,1955,99316.80,20140630,440000,2722.00
"518 N 7th St, Ann Arbor, MI Real Estate",1.5,2,,,20140630,330000,1020.00
