id,salary,exprior,yearsbg,yearsrank,market,termdeg,admin,yearsdg,rank,male
91,40512,0,3,3,1.04,1,0,3,1,1
92,53010,2,16,8,0.85,1,0,18,3,1
93,51943,19,0,0,0.87,1,1,19,3,1
94,41045,21,5,5,0.92,1,0,26,2,1
95,61453,0,15,0,1.21,1,0,15,2,1
96,67339,0,28,15,1.14,1,0,24,3,1
97,56000,1,0,0,1.19,1,0,1,1,1
98,44813,0,8,2,1,1,0,8,2,1
99,55923,0,26,9,0.78,1,0,26,3,1
100,29500,6,0,0,0.79,1,0,6,1,1
101,34731,0,2,2,0.91,1,0,2,1,1
102,33680,0,1,1,0.88,1,0,1,1,0
103,63357,3,26,17,0.92,1,0,29,3,1
104,62173,1,24,4,1.13,1,0,25,3,1
105,45032,0,13,0,0.85,1,0,13,3,1
106,39771.16,0,11,5,0.81,1,0,9,2,1
107,53003,5,29,24,0.77,0,0,34,2,1
108,35317,0,7,7,0.86,1,0,6,1,1
109,33154,2,2,2,0.79,1,0,4,1,1
110,45831,0,20,7,0.79,1,0,13,2,1
111,58949,0,12,6,1.23,1,0,10,2,1
112,55039,0,25,9,0.85,1,0,22,3,1
113,34206,1,4,4,0.88,1,0,5,1,0
114,48531,0,13,0,0.81,1,0,13,3,0
115,61988,0,11,3,1.21,1,0,11,2,1
116,54686,0,28,7,0.91,1,0,23,3,1
117,64918,0,27,16,0.91,1,0,27,3,1
118,37615,4,7,7,0.92,1,0,11,1,0
119,57779,0,13,7,1.19,1,0,11,2,1
120,29000,6,0,0,0.78,0,0,6,1,1
121,39924,6,5,2,0.93,1,0,11,2,1
122,37500,0,7,1,0.73,1,0,5,2,1
123,51954,0,27,18,0.74,1,0,27,3,1
124,36833,2,3,3,0.92,1,0,5,1,1
125,44225,13,8,8,1.05,1,0,21,1,1
126,41037,2,1,1,1.13,1,0,3,1,1
127,37733,0,8,0,0.92,1,0,8,2,0
128,74246,0,28,21,0.99,1,0,28,3,1
129,63500,10,0,0,1.24,1,0,10,2,0
130,58000,1,0,0,1.24,1,0,1,1,1
131,48921,8,2,2,0.99,1,0,10,2,1
132,43641,0,8,3,0.99,1,0,8,2,1
133,62091,0,23,14,1.13,1,0,23,3,1
134,66166,4,13,3,1.21,1,0,17,3,1
135,55121,2,1,1,1.18,1,0,3,1,1
136,35980,2,4,4,0.99,1,0,6,1,1
137,44190,19,4,4,0.78,1,0,23,2,1
138,61008,0,2,2,1.33,1,0,1,1,1
139,48099,1,21,15,0.85,1,0,22,2,1
140,70546,0,14,8,1.24,1,0,11,2,1
141,48941,0,12,0,0.85,1,0,12,3,1
142,34206,1,5,5,0.94,1,0,6,1,0
143,38810.01,0,10,5,0.73,1,0,8,2,1
144,38600,1,3,1,0.93,1,0,4,1,1
145,41106,8,9,9,0.85,1,0,17,2,1
146,54177,0,20,5,0.82,1,0,18,2,1
147,46416,1,15,15,0.86,1,0,16,1,0
148,59000,0,0,0,1.24,1,0,0,1,0
149,34157,0,5,5,1,1,0,5,1,1
150,49667,0,12,4,0.88,1,0,11,2,1
151,34206,2,4,4,0.93,1,0,6,1,0
152,37410,0,4,3,0.88,1,0,3,1,1
153,56436,4,16,5,0.94,1,0,20,3,1
154,46551,1,17,12,0.94,1,0,18,2,1
155,45229,0,27,0,0.91,1,0,26,3,1
156,35682,4,7,1,0.8,1,0,11,2,1
157,38265,2,4,1,0.83,1,0,6,2,1
158,36583,0,4,4,0.81,1,0,4,1,0
159,80760,13,7,7,0.92,1,0,20,3,1
160,60725.87,2,11,2,1,1,0,13,2,1
161,48000,3,0,0,1.14,1,0,3,1,1
162,54222,4,20,5,1.13,1,0,24,3,1
163,62164.73,21,3,3,0.85,1,1,24,3,1
164,38000,4,0,0,0.91,1,0,4,1,1
165,50683,0,17,11,0.88,1,0,17,2,0
166,58875.55,20,4,4,0.85,1,1,24,3,1
167,63231,0,29,15,1.22,1,0,22,3,1
168,64161,20,2,2,0.86,1,0,22,3,1
169,46573.65,0,16,3,0.91,1,0,15,3,1
170,60402,6,19,7,0.86,1,0,25,3,0
171,58530,0,19,9,0.93,1,0,19,3,0
172,64109,0,41,28,0.91,1,0,37,3,1
173,45838,0,15,10,0.9,1,0,15,2,0
174,64854.31,0,22,12,1,1,0,22,3,1
175,39574,1,15,9,0.8,1,0,16,2,0
176,42088,6,1,1,0.82,1,0,7,2,1
177,43277,2,13,9,0.89,1,0,15,2,1
178,37363,2,4,4,0.93,1,0,6,1,1
179,48378,3,6,0,0.91,1,0,9,2,1
180,60653.06,8,14,12,0.85,1,0,22,3,1
181,46843,0,23,13,0.81,1,0,23,2,0
182,56884,1,23,14,0.81,1,0,24,3,1
183,82508,0,32,23,0.93,1,0,31,3,1
184,34206,1,2,2,0.73,1,0,3,1,0
185,49923,0,15,2,1.15,1,0,15,3,1
186,56933,7,14,11,0.88,1,0,21,3,1
187,31577,0,3,2,0.86,1,0,3,1,0
188,78660,8,17,15,1.04,1,0,25,3,1
189,69374,0,26,15,1.14,1,0,23,3,1
190,91405,0,23,14,1.18,1,0,23,3,1
191,46292,1,2,2,1.14,1,0,3,1,1
192,54000,3,13,6,0.87,1,0,16,3,1
193,36000,0,11,5,0.74,1,0,11,2,1
194,44678,0,8,3,0.83,1,0,8,2,1
195,57573,0,23,10,1,1,0,23,3,1
196,36308,0,2,1,0.85,1,0,1,1,1
197,48765,10,11,4,0.94,1,0,21,3,0
198,65533,0,24,1,1.04,1,0,24,3,1
199,82878,0,29,21,0.91,1,1,28,3,1
200,46520,0,15,8,0.95,1,0,15,2,1
201,65836.73,0,25,14,0.77,1,0,25,3,1
202,62211,0,21,11,1.14,1,0,21,3,1
203,56433,0,24,12,0.99,1,0,23,3,1
204,39986,1,3,3,0.96,1,0,4,1,1
205,90082,10,22,22,1,1,0,32,3,1
206,42388,6,11,8,0.81,1,0,17,2,1
207,44454,5,16,10,1.02,1,0,21,2,1
208,34914,1,7,0,0.86,1,0,8,2,1
209,37905.3,0,10,5,0.78,1,0,4,2,1
210,44539,0,15,8,0.77,1,0,15,2,1
211,66570,0,20,9,0.76,1,0,19,3,1
212,47148,3,19,7,0.74,1,0,22,3,1
213,49826,5,12,9,0.93,1,0,17,2,1
214,63997,0,28,15,0.79,1,0,28,3,1
215,34731,6,3,3,0.85,1,0,9,1,1
216,44410.86,7,12,10,0.72,1,0,19,2,0
217,47820,0,18,10,0.88,1,0,14,2,1
218,53543,9,4,4,1.17,1,0,13,2,1
219,61008,0,2,2,1.33,1,0,2,1,1
220,41073,0,11,0,0.8,1,0,11,3,1
221,56000,1,0,0,1.19,1,0,1,1,0
222,69709,3,28,21,1,1,0,31,3,1
223,41121,0,9,5,0.73,1,0,9,2,1
224,74265.4,22,2,2,1.14,1,1,24,3,1
225,55549.56,0,23,2,0.91,1,0,21,3,1
226,65852,0,26,18,0.99,1,0,25,3,1
227,34731,0,2,1,0.95,1,0,1,1,0
228,63144,14,27,20,0.73,1,0,41,3,1
229,69827.75,0,30,21,0.79,1,0,30,3,1
230,52446,5,14,6,0.81,1,0,19,3,0
231,54238,0,15,4,1.14,1,0,15,3,1
232,44045,10,6,6,1,1,0,16,2,0
233,47396,5,11,7,0.86,1,0,16,2,0
234,36487,1,5,1,0.82,1,0,6,2,0
235,71573,8,22,20,0.92,1,0,30,3,1
236,68651,0,23,12,0.91,1,0,23,3,1
237,59110,0,4,4,1.33,1,0,4,1,1
238,53274,0,22,10,0.85,1,0,22,3,1
239,39156,0,8,2,0.88,1,0,8,2,1
240,39024,2,7,0,0.99,1,0,9,2,1
241,44413,3,21,13,0.91,1,0,24,2,1
242,39000,4,0,0,1.22,1,0,4,1,1
243,60153,3,15,13,1.24,1,0,18,1,1
244,33680,0,3,3,0.92,1,0,3,1,0
245,42614,0,2,2,0.88,1,0,2,1,1
246,61210,0,24,16,1.17,1,0,23,3,1
247,49499,2,10,4,1.02,1,0,12,2,0
248,47573,0,15,11,0.87,1,0,15,2,1
249,58118,0,5,5,1.33,1,0,5,1,1
250,41425,5,6,3,0.91,1,0,11,2,1
251,39611,6,6,0,0.81,1,0,12,2,0
252,41915,0,10,4,0.82,1,0,8,2,0
253,72533,15,21,21,1.04,1,0,36,3,1
254,40615,4,6,2,1.07,1,0,10,2,1
255,32000,1,5,5,0.74,1,0,6,1,1
256,69654.34,0,17,12,1.21,1,0,17,2,0
257,71142,1,20,16,1.21,1,0,21,2,1
258,41015,0,10,10,0.79,1,0,10,1,0
259,76098,0,18,10,1.24,1,0,17,3,1
260,48543,0,25,17,0.79,1,0,23,2,1
261,40636,0,12,11,0.88,1,0,11,1,0
262,41639,1,6,0,1.09,1,0,7,2,1
263,34731,1,1,1,0.85,1,0,2,1,1
264,56182,0,7,1,1.21,1,0,6,2,0
265,71118,2,28,21,0.92,1,0,30,3,1
266,45906,6,17,11,0.92,1,0,23,2,0
267,50280,0,22,15,0.85,1,0,21,2,0
268,52071,0,24,14,0.85,1,0,24,2,1
269,48666,0,22,1,0.78,1,0,15,3,0
270,73620,15,3,3,0.92,1,0,18,3,1
271,65432,0,23,12,0.99,1,0,23,3,1
272,52464,0,17,9,1.3,1,0,17,2,1
273,35206,0,3,2,0.85,1,0,3,1,1
274,61439,0,7,2,1.17,1,0,6,2,1
275,60190,11,5,5,0.96,1,1,16,3,1
276,66334,0,35,23,0.78,1,0,30,3,1
277,59403.16,22,2,2,1.21,1,0,24,3,1
278,72152,0,33,22,1,1,0,33,3,1
279,34997,0,18,12,0.8,1,0,17,2,0
280,38572,0,12,9,0.8,1,0,12,2,0
281,62899,9,9,9,1.21,1,0,18,2,1
282,55826,4,24,12,0.78,1,0,28,3,1
283,56542,8,20,10,0.78,1,0,28,3,0
284,70514,0,25,17,0.89,1,1,25,3,1
285,52090,0,30,24,1.1,1,0,28,2,1
286,32000,3,0,0,0.91,1,0,3,1,1
287,64046,0,25,13,0.78,1,0,22,3,1
288,62801,0,28,15,0.77,1,0,28,3,1
289,30000,22,1,0,0.79,1,0,23,1,1
290,68133,4,23,17,0.93,1,0,27,3,1
291,65212,23,3,3,1,1,0,26,3,1
292,68140,13,22,22,0.85,0,0,35,3,1
293,33010,3,8,8,0.79,1,0,11,1,0
294,58134,0,26,16,0.85,1,0,26,3,1
295,68444.52,7,10,4,1.19,1,0,17,3,1
296,40945,0,11,5,0.95,1,0,10,2,1
297,43921,0,17,11,0.85,1,0,17,2,0
298,51565,0,20,4,0.93,1,0,18,3,1
299,42563,0,9,3,0.84,1,0,9,2,1
300,56574,0,26,1,1,1,0,24,3,1
301,55210,1,5,5,1.23,1,0,6,1,0
302,58982,1,20,5,1.1,1,0,21,3,1
303,45837,4,18,3,0.85,1,0,22,3,1
304,48456,1,24,16,0.85,1,0,25,2,1
305,35257,4,3,3,0.91,1,0,7,1,0
306,44204,9,6,6,1.09,1,0,15,1,1
307,73349,1,22,18,1.21,1,0,23,2,1
308,37000,3,0,0,0.99,1,0,3,1,1
309,49768,0,26,7,0.9,1,0,22,3,1
310,43500,6,0,0,1.21,0,0,6,1,0
311,58149,3,18,10,0.82,1,0,21,2,1
312,30001,4,3,3,0.77,1,0,7,1,1
313,50838,10,6,6,0.92,1,0,16,2,1
314,47821,1,15,3,0.96,1,0,16,2,0
315,41682,1,7,1,0.92,1,0,8,2,1
316,42603,1,9,2,1.02,1,0,10,2,0
317,37037,0,13,4,0.91,1,0,12,2,0
318,38935,6,2,2,0.77,1,0,8,1,1
319,41037,5,2,1,1.31,1,0,7,1,1
320,34000,0,3,3,0.73,1,0,2,1,1
321,55158,1,8,3,1.21,1,0,9,2,1
322,51698,8,23,1,0.79,1,0,31,3,1
323,46601,0,21,2,0.99,1,0,18,3,1
324,52627,0,20,10,0.83,1,0,19,3,1
325,54850,0,24,9,0.93,1,0,23,3,1
326,31000,0,3,2,0.79,1,0,2,1,0
327,83192.23,11,19,19,0.92,1,1,30,3,1
328,35000,1,0,0,0.91,1,0,1,1,0
329,39777,10,17,10,0.86,1,0,27,2,1
330,31000,0,0,0,0.95,1,0,0,1,0
331,61316,0,22,13,1,1,0,22,3,1
332,55000,0,0,0,1.23,1,0,0,1,1
333,63512,0,28,19,1.09,1,0,28,3,1
334,48078,0,11,5,1.04,1,0,11,2,1
335,48210,10,4,4,1.02,1,0,14,1,1
336,60345,4,24,4,1,1,0,28,3,1
337,35782,1,2,2,0.99,1,0,3,1,1
338,62587,20,8,8,0.85,1,1,28,3,1
339,37884,4,2,2,1.09,1,0,6,1,1
340,66537,6,10,1,1,1,0,16,3,1
341,45047,0,20,20,0.83,1,0,20,1,0
342,63827,0,24,12,1.14,1,0,22,3,1
343,32944,0,6,5,0.85,1,0,6,1,0
344,59564,0,19,14,1.33,1,0,17,2,1
345,34206,3,3,3,0.86,1,0,6,1,0
346,66483,3,21,15,0.99,1,0,24,3,1
347,54211,2,14,5,0.99,1,0,16,3,1
348,52773,0,28,14,0.88,1,0,16,2,0
349,60056,0,18,8,0.85,1,0,18,3,1
350,47661,4,12,3,0.85,1,0,16,3,0
351,64713,0,22,12,1.23,1,0,22,3,1
352,46975,0,7,2,1.04,1,0,7,2,1
353,40000,0,3,3,0.84,1,0,3,1,0
354,65212,7,3,3,1.18,1,0,10,2,1
355,62523,5,28,22,0.93,1,0,33,3,1
356,58498.45,0,23,2,0.84,1,0,15,3,1
357,33800,0,0,0,0.84,1,0,0,1,0
358,64770,0,25,15,1.02,1,0,23,3,0
359,35257,0,2,2,0.85,1,0,2,1,1
360,57612,0,12,5,1.23,1,0,10,2,0
361,46810.87,3,7,4,0.81,1,0,10,2,0
362,42813,6,10,7,0.85,1,0,16,2,0
363,59432,0,30,19,1.02,1,0,27,3,1
364,75614,0,29,22,0.89,1,0,29,3,1
365,71605,1,17,9,1.18,1,0,18,3,1
366,34603,0,6,4,0.79,1,0,4,1,0
367,30662,0,4,3,0.76,1,0,3,1,0
368,50235,0,21,1,0.79,1,0,20,3,1
369,38936,2,2,2,0.99,1,0,4,1,1
370,32000,13,0,0,0.71,1,0,13,1,0
371,52580,2,22,9,0.78,1,0,24,3,1
372,54274,0,22,12,1.02,1,0,22,3,1
373,61179,2,25,16,1.13,1,0,27,3,1
374,59534.86,0,24,10,0.93,1,0,22,3,1
375,38410,12,3,3,0.88,1,0,15,1,1
376,36308,3,2,2,0.8,1,0,5,1,1
377,42088,1,3,3,1.14,1,0,4,1,1
378,55608,1,25,21,0.96,1,0,26,2,1
379,62059,0,3,3,1.17,1,0,3,1,1
380,53376,0,6,0,1.21,1,0,6,2,1
381,64073,0,11,0,1.21,1,0,10,3,1
382,41483,1,5,2,0.93,1,0,6,2,1
383,56278,3,5,5,1.23,1,0,8,1,1
384,67062,0,25,15,1.14,1,0,23,3,1
385,58766.76,0,23,12,0.99,1,1,23,3,0
386,47029,7,11,1,0.79,1,0,18,3,1
387,53000,0,0,0,1.17,1,0,0,1,1
388,52395,5,19,7,0.86,1,0,24,3,0
389,63800,0,25,14,1,1,0,25,3,1
390,70434,7,15,10,1.24,1,0,22,3,1
391,63660.85,17,1,1,0.92,1,1,18,3,0
392,52894,0,24,8,0.92,1,0,23,3,1
393,58698,0,22,5,0.96,1,0,22,3,1
394,58946,0,12,3,0.84,1,0,10,2,0
395,80137,5,21,20,1.04,1,0,26,3,1
396,63073,2,30,16,0.78,1,0,32,3,1
397,52054.25,13,1,1,0.99,1,0,14,3,1
398,39754,0,1,0,0.88,1,0,1,1,1
399,69976,0,30,14,0.91,1,0,28,3,1
400,42537,0,13,8,0.8,1,0,12,2,1
401,39871,0,6,0,0.99,1,0,6,2,0
402,38069,0,7,6,0.83,1,0,6,1,0
403,58930,0,6,0,1.17,1,0,4,2,1
404,51775,0,27,13,0.85,1,0,26,3,1
405,49439,0,16,8,0.78,1,0,9,3,1
406,39986,0,2,0,0.99,1,0,1,1,1
407,42954,6,9,0,0.92,1,0,15,3,1
408,66115,2,26,18,0.92,1,0,28,3,1
409,66789.7,0,24,12,0.86,1,0,21,3,1
410,58471,0,24,13,0.84,1,0,21,3,1
411,62350,5,19,14,1.09,1,0,24,3,1
412,62059,15,1,1,0.91,1,0,16,3,0
413,36000,1,0,0,0.93,1,0,1,1,0
414,41974,0,6,0,1,1,0,6,2,1
415,63337,0,27,20,0.99,1,0,27,3,1
416,31000,0,0,0,0.92,1,0,0,1,0
417,33680,0,3,3,0.88,1,0,3,1,1
418,40000,3,7,2,0.79,1,0,10,2,1
419,71812,2,21,14,1.21,1,0,23,3,1
420,39660,0,9,4,0.74,1,0,9,2,0
421,41563,1,8,1,0.85,1,0,9,2,0
422,50096,3,7,4,1.18,1,0,10,2,1
423,52579,4,25,11,0.99,1,0,29,3,1
424,33787,0,4,2,0.85,1,0,2,1,0
425,33680,0,3,1,1.05,1,0,2,1,1
426,51729,5,9,3,1.17,1,1,14,3,1
427,67199,0,28,16,0.91,1,0,27,3,1
428,40512,8,1,1,0.84,1,0,9,1,1
429,71543,13,7,7,1.33,1,1,20,3,1
430,36308,16,5,5,0.86,1,0,21,1,0
431,49357,3,13,3,0.78,1,0,16,3,1
432,38818,2,8,2,0.99,1,0,10,2,0
433,48289,2,13,1,1.1,1,0,15,3,1
434,45763,3,7,2,0.85,1,0,10,2,0
435,60423,0,5,5,1.24,1,0,5,1,1
436,80103,2,29,22,0.93,1,0,31,3,1
437,38333,0,7,2,0.8,1,0,7,2,1
438,60681,0,17,9,0.96,1,0,17,3,1
439,52173,0,22,8,0.78,1,0,22,3,1
440,36833,0,1,1,0.84,1,0,1,1,0
441,61255,7,21,15,0.92,1,0,28,3,1
442,52662,13,25,11,0.78,1,0,38,3,0
443,39461,0,7,1,0.99,1,0,6,2,0
444,56350,0,25,14,1,1,0,25,3,1
445,56030,0,26,15,1,1,0,24,3,1
446,33680,7,3,3,0.74,1,0,10,1,1
447,67647,0,20,10,1.21,1,0,20,3,1
448,89789,11,22,21,0.93,1,0,33,3,1
449,71835,0,28,19,1.13,1,0,27,3,1
450,55406,0,10,3,1.23,1,0,8,2,1
451,47999.42,0,15,1,0.86,1,0,15,3,1
452,54822,0,25,10,0.92,1,0,23,3,1
453,60000,5,0,0,1.19,1,0,5,2,0
454,52172,6,15,11,0.73,1,0,21,3,1
455,37500,0,6,0,0.92,1,0,6,2,1
456,60678,5,13,0,1.21,1,0,18,3,0
457,43188,1,13,1,0.85,1,0,14,3,1
458,33680,0,2,2,1.02,1,0,2,1,0
459,64073,3,28,14,0.91,1,0,31,3,1
460,35000,0,3,0,0.79,1,0,0,1,0
461,40986,0,14,6,0.77,1,0,14,2,1
462,42482,0,9,4,0.99,1,0,9,2,1
463,42129,5,4,2,0.99,1,0,9,2,0
464,55227,0,3,3,1.23,1,0,2,1,1
465,40356,0,5,4,0.79,1,0,4,1,0
466,73155,12,25,25,0.92,1,0,37,3,1
467,35574,0,4,4,0.85,1,0,4,1,0
468,64863,0,23,14,0.99,1,0,23,3,1
469,60717,1,21,11,0.99,1,0,22,3,1
470,41259,6,8,2,1.15,1,0,14,2,0
471,46292,0,2,2,1.14,1,0,2,1,1
472,37359,0,1,1,0.84,1,0,1,1,0
473,73669,0,23,14,1.19,1,0,22,3,1
474,45287,0,22,16,0.85,1,0,22,2,1
475,60498,4,24,13,0.99,1,0,28,3,1
476,45000,20,0,0,1,1,0,20,2,1
477,40000,4,0,0,1,1,0,4,1,1
478,39986,1,4,4,1.17,1,0,5,1,1
479,45482,0,26,20,0.93,1,0,26,2,1
480,55090,2,21,18,1.02,1,0,23,2,1
481,59880,0,6,0,1.18,1,0,6,2,1
482,61123,5,19,13,0.82,1,0,24,3,1
483,55411,0,22,8,0.91,1,0,22,3,1
484,41723,7,7,4,0.87,1,0,14,2,1
485,55752,0,2,2,1.19,1,0,2,1,0
486,63409,0,22,17,1.23,1,0,21,2,1
487,62623,0,26,15,0.79,1,0,23,3,1
488,33703,1,6,1,0.77,1,0,7,2,0
489,57246,0,17,4,0.93,1,0,16,3,1
490,60006,0,24,2,0.92,1,0,20,3,1
491,50008,0,18,10,0.8,1,0,16,2,0
492,59472,5,15,15,0.89,1,0,20,2,1
493,52738.91,2,26,6,0.74,1,0,28,3,1
494,42717.6,0,10,5,0.8,1,0,10,2,1
495,34206,1,4,4,0.8,1,0,5,1,0
496,41063,1,18,18,0.81,1,0,19,1,0
497,33787,7,5,1,0.77,1,0,12,2,1
498,53686,0,31,17,0.78,1,0,26,3,1
499,70563,7,26,21,0.85,1,0,33,3,1
500,37067,6,6,2,0.93,1,0,12,2,0
501,47349,0,20,9,0.89,1,0,13,2,1
502,64686.62,5,16,8,1.15,1,0,21,3,1
503,35782,0,2,1,0.92,1,0,2,1,0
504,55847,2,12,5,1.23,1,0,14,2,1
505,48327,25,2,2,0.78,1,0,27,2,1
506,57192,0,27,13,0.85,1,0,25,3,1
507,32000,7,0,0,0.78,1,0,7,1,0
508,45500,0,0,0,1.21,1,0,0,1,1
509,54003,0,20,5,0.89,1,0,20,3,1
510,55524,13,15,10,1.15,1,0,28,3,1
511,57973,4,17,9,0.93,1,0,21,3,1
512,48395,0,3,3,1.21,1,0,3,1,1
513,34731,0,1,1,0.85,1,0,1,1,0
514,33680,4,1,1,0.79,1,0,5,1,1
